Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,58.549999,59.130001,58.459999,58.82,58.82,741000
2017-08-10,58.68,58.68,56.799999,56.830002,56.830002,1218700
2017-08-11,56.810001,58.360001,56.810001,58.200001,58.200001,1057300
2017-08-14,58.779999,59.380001,58.560001,58.599998,58.599998,1157900
2017-08-15,58.650002,58.93,57.419998,58.259998,58.259998,815000
2017-08-16,58.369999,61.049999,58.310001,60.759998,60.759998,1723300
2017-08-17,60.619999,60.919998,59.099998,59.16,59.16,1450100
2017-08-18,59.040001,59.830002,58.599998,59.330002,59.330002,766400
2017-08-21,59.200001,60.049999,59.080002,59.900002,59.900002,810800
2017-08-22,60.169998,61.150002,60.169998,60.34,60.34,1617800
2017-08-23,60.34,60.759998,59.849998,60.330002,60.330002,1356600
2017-08-24,60.68,61.360001,60.099998,60.279999,60.279999,2653000
2017-08-25,66.559998,67.540001,64.900002,65.389999,65.389999,8358100
2017-08-28,65.0,65.5,63.639999,64.480003,64.480003,2470300
2017-08-29,63.349998,65.150002,63.200001,64.379997,64.379997,1713400
2017-08-30,64.160004,65.709999,64.099998,65.599998,65.599998,1079800
2017-08-31,65.989998,67.160004,65.68,67.089996,67.089996,1684000
2017-09-01,67.0,67.650002,66.760002,67.400002,67.400002,1429300
2017-09-05,68.339996,68.440002,66.610001,67.330002,67.330002,1947000
2017-09-06,67.449997,68.080002,66.949997,67.989998,67.989998,1598300
2017-09-07,68.139999,68.849998,67.989998,68.419998,68.419998,1412800
2017-09-08,68.480003,68.760002,67.120003,67.18,67.18,1102500
